eo,de.a,de,de.f,en,pl,_,0,bazo
rajti,,dürfen,,may,mieć prawo,i,,
devi,,sollen,,ought to,mieć powinność,i,,
devi,,müssen,,must,musieć,i,,
povi,,können,,can,móc/umieć,i,,
voli,,wollen,,want,chcieć,i,,
ŝati,,mögen,,like,lubić,i,,
